,Pro_Meso,LF1_LF0,LM1_LM0,LH1_LH0,RF1_RF0,RM1_RM0,RH1_RH0,LF1_LF2,LM1_LM2,LH1_LH2,RF1_RF2,RM1_RM2,RH1_RH2
989,140.1705438050051,80.22186568311142,66.4570062935512,15.215566258934835,169.32402834055907,262.0512286054476,294.64636199626443,55.00925650226365,241.54076020413265,75.79100958519803,305.5742648207424,5.655519438959747,183.3157973957509
990,141.24106867003144,81.64349665331667,71.9111296984452,14.173018992971574,166.20516671589127,265.65856895925305,292.0935189517253,73.69074209961076,247.376500394019,77.18425609187123,309.4274874470853,12.895957612698218,181.78737944340028
991,141.67947797704426,82.74690511446855,72.51106931508448,13.10325197255558,165.4199892868368,268.6342844647796,288.82194858798,84.83672451656521,256.20027365205937,78.16230763570144,304.3277527554539,14.540945951407956,182.87122817816237
992,141.94342300782114,84.1143142903645,72.63507053568851,11.850933992109193,163.5066135760805,269.9561999252266,284.9035658470549,103.69413277185126,254.650921166192,79.79077917867632,293.25913845274056,20.08812648767276,195.11695113779933
993,142.77418082242554,82.27726424337746,68.9733001331477,11.415233753237471,168.34412761056652,271.9704722243133,282.44161380534257,107.93356723422096,263.82055428991487,84.25301476836185,289.5199527552746,25.53370579846244,209.04074533211823
994,143.70176414221504,80.95011055984156,71.65862886718388,9.854831286503376,169.83554866963655,272.32517860204524,278.9564443399746,105.82651335624745,259.16082217057,86.91525065241409,290.02948032276026,33.07009563327046,220.16714166867172
995,144.72520979800143,76.36817128612775,72.45914679535663,8.192482017002908,168.47521856678412,272.9570351788931,278.47242009931097,107.68123438545445,138.76314074285483,88.32838254729405,284.2572435514277,47.96400388408834,228.387371448299
996,145.20514457279205,74.88860489182565,74.71739461714323,4.601707632122396,173.04852425181707,274.39885500447986,275.9453510282667,100.09160653374732,148.37203630436858,87.7582707405325,268.3880549828999,54.01267273804962,232.20549931845323
997,145.55507421469866,85.09788619187454,72.87341635627148,3.1268040699606847,174.65129674317873,275.7380482872763,277.0828598932004,57.71445453390454,143.09744061025663,90.2918511745166,266.7495568191794,50.47567934024855,235.07305961419576
998,146.04221987048078,87.74752655295953,69.97683488184731,1.7286505025245875,179.19323234530546,276.4292529813193,283.17233013790053,347.84501530787924,143.16655345728387,95.29000552637255,264.3130774753739,59.71799306237399,246.60243873360295
999,147.55766666721425,88.28991390551822,68.36689692612792,359.72455417720494,179.7268853732763,279.8115871800108,285.196014030961,325.64441989762093,140.00183161614865,98.19544984486222,258.37517060072906,65.99644163828955,248.7086417573228
1000,147.60600800258595,91.68534219510676,66.11653454446426,357.95875723389827,180.5952493277454,283.55568108791846,286.3504707816795,325.78914594329325,140.65859543864022,98.26305138030745,253.0800259958781,69.64303520360652,247.91135069406204
1001,150.2994103390014,95.92253946551514,63.52799579290232,359.0967585297952,182.53612221822797,283.48064987490034,287.65707509917223,319.9530414743351,142.12580102894728,103.55607077253744,256.82690202276683,73.50757331333241,248.88948822629996
1002,149.31116586722308,96.16045470557115,60.77778726944116,358.3566622353526,186.53872255365815,277.1461611059835,289.28838408573523,316.37533424376545,138.98038842647054,105.36609795198932,253.37327516105088,76.15124006904792,252.68240602939056
1003,149.03266888319703,99.64806491556742,59.03117801849259,357.97083830477885,192.26769997155097,274.1340409387094,287.92520759679,315.0689167565492,139.91068286868074,106.77172703438896,250.44005781303,70.35707878938344,251.1744440354375
1004,149.10102449608718,98.19193666861096,58.56002540500092,356.5533424101436,195.28725937944893,261.74332427034443,287.1675853066328,317.6251046144805,139.19880046817244,105.837359226389,249.01946743778245,67.54578692903374,239.48273812054583
1005,148.8742213631867,104.2830903109246,56.54476807378986,357.6386759114456,199.31858308166343,250.5470323792781,287.6981987754083,312.5851509335147,138.89686492008138,103.44887217614082,236.7678156223957,34.96029771872156,185.90494993016927
1006,148.19357206011793,106.23136914309342,53.6709150539851,0.027942790928785,199.4316385189916,239.11452821632992,289.0523338399112,311.07044365280325,131.2349315167589,97.74680366615306,230.31892218673497,19.222914584488617,179.7238413840563
