,Heading_direction
128,148.4796361573135
129,148.68259271670956
130,148.99082237924543
131,149.2058371838325
132,149.4173579086269
133,150.44588090000937
134,147.7816230016395
135,149.7067564909085
136,149.88539803126673
137,151.0442391541273
138,151.46912779398588
139,151.07959499364455
140,150.82411293857095
141,150.6385407089744
142,150.1970105739656
143,150.4517121813224
144,150.3967823496652
145,150.0543053901831
146,150.21557362795824
147,148.9546232493591
148,147.92811195602715
149,147.7591257082884
150,147.5426016499052
151,147.9999417708514
152,147.93761140819652
153,148.2259540345287
154,148.0505920424626
155,148.3099322325008
156,148.9318935054132
157,149.78420172203568
158,149.39100442925184
159,150.5256741126324
160,151.18224428886697
161,152.18701713600717
162,152.5805769063644
163,152.5752125222192
164,151.0357458289045
165,149.79814371196449
166,145.70070767272892
167,143.38443764553432
168,141.98880164205275
169,141.55957055764355
170,142.24550564308575
171,143.393818722197
172,143.8179417323521
173,143.71805151146432
174,143.9116534488092
175,143.7499290318536
176,143.9002181514389
177,143.5596236607952
178,141.9340834831484
179,141.3624846362632
180,142.46289627563635
181,142.9268718978824
182,145.0950400000767
183,144.19235502062935
184,141.60060215351297
185,140.59828107563277
186,139.5933659038596
187,139.97445414293676
188,139.4606149291365
189,137.43610341366255
190,137.54455818081493
191,137.87055773404268
192,138.0294910568587
193,138.77894517639248
194,139.56385402316695
195,140.09323344991645
196,139.19669247410184
197,139.0997150299065
198,139.2707537034269
199,138.1598518737423
200,137.6227755850847
201,138.97416198877912
202,140.53053429046136
203,140.5927605813987
204,139.7853124874199
205,137.670972005662
206,135.317793867764
207,136.1582799597644
208,135.3805969409254
209,134.91925487354223
210,135.51910138851696
211,136.64633513861511
212,138.62977013879157
213,139.575894767876
214,140.3214720548436
215,139.67010427209624
216,138.5130811097692
217,138.5780474295308
218,138.7934928101672
219,137.2467246922384
220,136.25200363889073
221,136.7221685837228
222,137.84734376449575
223,138.05410260414655
224,135.04287407206624
225,134.46492204899448
226,133.5528391768847
227,133.07817526867257
228,133.4931515593964
229,133.64363090184372
230,134.75757395577085
231,134.91701601785968
232,136.15944042907304
233,136.8468698661096
234,135.98907970699577
235,135.62039920426895
236,135.23868436648596
237,135.3333555157762
238,135.38815315169336
239,134.0350863928039
240,133.09899448112424
241,133.86866996966572
242,134.90721894779048
243,136.15005357143627
244,134.9626765827965
245,131.62508227831063
246,130.29165921537833
247,128.6649525009159
248,127.7101962742596
249,126.96427755469401
250,127.50461135704211
251,126.39926540278827
252,127.37851179693729
253,125.41687609151555
254,127.56590785042641
255,124.23840281800017
256,126.2965109267011
257,126.4274115482408
258,126.64216554076336
259,127.3324710671344
260,127.20088479734969
261,127.30668327544387
262,127.2446499919765
263,123.9803050419394
264,121.94852072668093
265,119.4719139363653
266,118.1400389863785
267,116.74263740991091
268,117.26201739516608
269,117.83661957264411
270,118.772456345546
271,118.44335527536248
272,118.83608080772319
273,118.61791010961511
274,118.1898825693043
275,120.337812695237
276,120.92370389433117
277,121.42916648342629
278,121.91360400879421
279,121.26639883027357
280,120.4631619803456
281,118.88657966993881
282,117.5890231060167
283,117.13356199372356
284,116.41794352035453
285,115.35656655834691
286,115.02063916274707
287,115.47250790584175
288,116.37716641909176
289,114.70383606555029
290,115.15661165984241
291,114.68750904312071
292,114.54305999047031
293,114.34734525767371
294,113.23803028955984
295,114.6158095916415
296,116.295099873888
297,115.92417624819075
298,115.94709058804995
299,116.64072158088479
300,116.4688342861889
301,114.16629374164901
302,113.48387748762744
303,112.20111045558423
304,109.93867737879
305,108.16411194615557
306,107.75352993459973
307,108.32479092693936
308,108.33252564293949
309,108.35198598784581
310,108.0433885173345
311,107.08338286375391
312,107.46853610326721
313,107.468453730693
314,107.20614859423159
315,108.58225529083589
316,110.37138401661551
317,110.62834537441637
318,110.02630700339441
319,110.4108207639668
320,110.47618033004224
321,110.30425818078999
322,110.1342489205716
323,108.57198300859173
324,108.751287228521
325,107.84868885593255
326,109.30850143639341
327,109.680021924816
328,108.68087954415915
329,108.07511461323335
330,107.92031275027068
331,108.95705085670201
332,109.64660845527999
333,109.85616349616288
334,110.15403163591441
335,110.1432869471189
336,109.36858608524915
337,111.06550448117912
338,112.59074139215156
339,113.09670416463916
340,113.18976614784148
341,113.93481393948241
342,114.21991719121641
343,114.19190533067231
344,113.57542829705147
345,112.38583218544952
346,110.97453522454879
347,109.869507425471
348,109.95634518844983
349,109.83301665308028
350,109.47374309694237
351,110.27968491560631
352,111.13609244828535
353,110.38611147706041
354,111.17376659083772
355,111.26337595703757
356,111.00607992472072
357,111.54127753509815
358,112.07665749251751
359,112.32729353774667
360,113.03790744941688
361,113.33775546678072
362,113.5498934623237
363,114.2522935727082
364,113.5715716086018
365,113.27060406532817
366,113.13220877136229
367,112.2060418792191
368,111.98179213826256
369,111.97193038885547
370,111.83127382356264
371,112.10817019863833
372,113.17791668090507
373,114.2063153587143
374,115.41560675908713
375,115.8343051409339
376,116.54080391821239
377,116.5823029281766
378,116.90862591616633
379,117.52607978445192
380,118.05390543945879
381,118.88087445007221
382,118.4490142303722
383,117.71464117043024
384,118.59002503378068
385,120.25783330434672
386,119.46562474191441
387,117.74476058699497
388,115.97003057714417
389,115.5085680893072
390,114.53898018101756
391,114.12173715831855
392,114.0971262496524
393,114.466687516794
394,115.1804640971663
395,115.97854371819253
396,116.4530996208563
397,115.75614082867068
398,116.58408798936023
399,116.62790629933639
400,116.82134480565537
401,116.69397087481263
402,115.83792475077121
403,116.64465288762085
404,117.00089642115356
405,116.54002095024069
406,116.46335564009581
407,116.86019000172541
408,118.2957263702396
409,117.47002542798441
410,115.99375191009716
411,114.84848609982151
412,114.02473179601239
413,113.88845191401177
414,114.82615345779377
415,114.52002437794391
416,114.42546716514187
417,115.09654114657991
418,115.85822101752797
419,116.96763250643619
420,117.6640381927075
421,118.22129486498329
422,118.54334828251297
423,118.8354156493146
424,119.05789631732188
425,119.84678008765039
426,119.65604188716728
427,119.2798137667788
428,118.15719702505933
429,118.25744145051655
430,118.89574639132587
431,118.37357909278
432,117.97749275859292
433,117.09629735183393
434,116.79084689124332
435,115.5332650377668
436,116.01729060758595
437,116.02768575775201
438,115.80463425135531
439,115.55326536285153
440,116.32644097079088
441,116.17227643784429
442,114.74818948931855
443,115.34651164251943
444,115.25563961681351
445,115.43212268047608
446,115.58256676298296
447,115.36685423611473
448,115.12342441135709
449,116.0725278225452
450,116.25721369042921
451,116.2412803378372
452,116.25750781900433
453,116.51990279230071
454,116.1911004992524
455,115.6110816198755
456,114.5421745754312
457,113.9451722942037
458,113.6480280169068
