L1.fem,L2.fem,L3.fem,R1.fem,R2.fem,R3.fem,L1.cox.Y,L2.cox.Y,L3.cox.Y,R1.cox.Y,R2.cox.Y,R3.cox.Y
40.58521673,40.70877283,38.27424283,34.53033395,26.66570365,35.47107768,-49.8878128,-42.19599228,-21.90957743,-24.07898852,-18.81454223,-2.117319215
40.4069782,40.18360638,39.74538602,34.39371224,27.69348205,34.78891312,-49.37584105,-41.63225147,-21.78250227,-23.94613446,-19.56748677,-1.721105808
40.28087583,39.39459281,40.93857088,34.62966912,28.95412906,34.11734788,-48.91175159,-40.78971583,-21.48395999,-24.25478859,-20.39673407,-1.352551152
40.06945261,38.492109,41.99823282,35.30372174,30.4192254,33.58194393,-48.35470047,-39.80840607,-21.11616667,-25.06582457,-21.30116359,-1.120952438
39.7076268,37.64736719,43.07916967,36.32164324,32.01260037,33.27868065,-47.63898294,-38.85263173,-20.77994379,-26.27388023,-22.24456723,-1.106426888
39.22615127,36.99445266,44.3152578,37.46460513,33.63452364,33.23353374,-46.80339463,-38.05973479,-20.56433923,-27.63889043,-23.16609652,-1.322995385
38.74820686,36.57156166,45.79012876,38.47065774,35.19407019,33.39010897,-45.9863587,-37.48550037,-20.53365249,-28.86616431,-24.00226347,-1.709034643
38.45332594,36.29518108,47.52042257,39.12175871,36.63142589,33.63230732,-45.38301246,-37.07632679,-20.71676605,-29.69928351,-24.70699176,-2.150992884
38.51036521,35.99161639,49.4602648,39.30543539,37.92212701,33.8282436,-45.17085675,-36.6920455,-21.10616644,-29.99431227,-25.26158725,-2.526112993
39.00393889,35.47557129,51.52279516,39.04274192,39.06824141,33.87140535,-45.43238041,-36.17297143,-21.66606805,-29.7609166,-25.67507515,-2.740798898
39.89830356,34.63858682,53.60532272,38.48860264,40.08479233,33.70120898,-46.11953909,-35.41931062,-22.34242903,-29.16968552,-25.97761355,-2.747933973
41.06375507,33.51144738,55.6081506,37.90621486,40.9852472,33.29968418,-47.08396469,-34.44992026,-23.07026761,-28.52344027,-26.20749622,-2.540591988
42.34054453,32.2794456,57.44631264,37.60288308,41.76835925,32.67436898,-48.14665665,-33.41933625,-23.77980022,-28.18008027,-26.39406596,-2.132414757
43.59191493,31.24022755,59.05816574,37.82087677,42.41163352,31.84320058,-49.15721253,-32.58232535,-24.40486758,-28.42476441,-26.5441815,-1.540729214
44.72292863,30.70563082,60.41400968,38.62308329,42.87644666,30.83202135,-50.01677258,-32.20756276,-24.89540945,-29.33762016,-26.64015838,-0.783629418
45.67648964,30.877602,61.52477909,39.85339116,43.12365195,29.68250789,-50.6742515,-32.46854497,-25.23289162,-30.74326072,-26.6500894,0.110734229
46.42803177,31.7641038,62.44672335,41.20982808,43.13188675,28.45818529,-51.11804026,-33.37043067,-25.44350021,-32.28613818,-26.54395789,1.095187345
46.98710671,33.18990397,63.27551344,42.37563126,42.90948775,27.23802047,-51.37369623,-34.76004645,-25.60066407,-33.57953422,-26.30752932,2.105976354
47.39704193,34.88399637,64.12582301,43.12277266,42.49529467,26.09897418,-51.50005824,-36.40164188,-25.81016562,-34.33595803,-25.95017437,3.07587441
47.72182355,36.57442547,65.09920403,43.35389237,41.94922559,25.09862025,-51.57273728,-38.05723916,-26.17831667,-34.43179287,-25.5065552,3.947868025
48.02264022,38.04543104,66.24951614,43.10537625,41.336099,24.26703206,-51.65774439,-39.5332845,-26.77272262,-33.92016998,-25.03171238,4.681936512
48.33535538,39.15837589,67.55791203,42.53927102,40.70670157,23.60757997,-51.78811566,-40.69756511,-27.59112866,-33.01851996,-24.58813531,5.256722694
48.6568041,39.8546743,68.92762533,41.91762159,40.08220989,23.10158759,-51.95223711,-41.48430529,-28.55293062,-32.06608534,-24.22737806,5.670922927
48.94436379,40.14975831,70.20317781,41.53372034,39.45022886,22.71588931,-52.09662918,-41.89417344,-29.51974141,-31.42986145,-23.97518239,5.943173093
49.13119542,40.11628597,71.21069658,41.60344605,38.77636364,22.4150133,-52.14290853,-41.98411232,-30.33991567,-31.37093211,-23.82865956,6.105531314
49.15218266,39.85504025,71.80840734,42.17125965,38.02463971,22.17370844,-52.01358092,-41.84320477,-30.90281399,-31.93625207,-23.76474287,6.192170795
48.96989469,39.45944122,71.93148863,43.09601576,37.17430492,21.97969273,-51.65846552,-41.56006959,-31.18466698,-32.9466685,-23.75145396,6.232597564
48.59229741,38.98471468,71.61458277,44.12442425,36.22675611,21.82284586,-51.07526661,-41.19292052,-31.26857758,-34.08749108,-23.75645409,6.254816051
48.07784849,38.43176599,70.97968204,44.99702545,35.20627681,21.68114723,-50.31840208,-40.75214501,-31.32661115,-35.03881976,-23.7548594,6.291738222
47.52516396,37.75179762,70.18826163,45.530046,34.15950625,21.51834087,-49.49024507,-40.20175022,-31.56360965,-35.57804057,-23.73873227,6.379700008
47.04737436,36.87359578,69.37270678,45.65414643,33.15172821,21.297287,-48.71348537,-39.48260439,-32.13842164,-35.62727865,-23.72417175,6.5468716
46.73628421,35.74893819,68.57699371,45.41511506,32.25490881,20.99981346,-48.09091409,-38.5534341,-33.09231693,-35.2501674,-23.74940907,6.799212016
46.62659552,34.39978799,67.74060733,44.94477726,31.52910904,20.64245099,-47.66591228,-37.4330939,-34.31874225,-34.61181564,-23.86404059,7.111025753
46.67541729,32.93996865,66.74337176,44.41132929,31.00758676,20.2840076,-47.40184462,-36.21804238,-35.59606971,-33.91779414,-24.11733239,7.421128237
46.77265016,31.54879482,65.49369128,43.96333386,30.69378624,20.02255528,-47.19624852,-35.05652955,-36.67508869,-33.34934764,-24.55090807,7.636051003
46.78563171,30.4015475,64.00966199,43.68463007,30.56606171,19.97367484,-46.92973562,-34.08829271,-37.38001437,-33.01135275,-25.19057525,7.649028425
46.61945634,29.59520242,62.43967216,43.5738343,30.58027968,20.22393266,-46.52628082,-33.38618593,-37.66962951,-32.90648598,-26.03038143,7.381940291
46.26027109,29.1165178,61.00511445,43.55348521,30.66984041,20.77646669,-45.99065879,-32.93773541,-37.62797858,-32.94344536,-27.01513869,6.835266713
45.77675148,28.87005252,59.90033717,43.50408774,30.75253216,21.52805564,-45.40176804,-32.67496492,-37.39992223,-32.97686552,-28.03839451,6.109297719
45.28085171,28.74119595,59.21514252,43.31102201,30.74918514,22.30058241,-44.86823743,-32.52618469,-37.12152477,-32.86454962,-28.96557744,5.374340112
44.87501407,28.65133325,58.92550443,42.90981909,30.60659688,22.90570232,-44.475758,-32.45372036,-36.8880251,-32.52196586,-29.6740457,4.808554087
44.61912537,28.57577667,58.94167003,42.31628759,30.31250754,23.20264397,-44.25820185,-32.45769389,-36.75957425,-31.95669984,-30.09119419,4.541165942
44.52944946,28.52086687,59.16271224,41.63061748,29.89780928,23.12735925,-44.20330829,-32.54872458,-36.77253769,-31.27171937,-30.21612843,4.623604038
44.59422296,28.47922803,59.49936134,41.01087289,29.42997474,22.69464663,-44.27703975,-32.70904478,-36.93394218,-30.63437448,-30.12107915,5.029128763
44.78749557,28.39445933,59.86821417,40.62250618,29.00098261,21.9827201,-44.44584767,-32.86829267,-37.207854,-30.21988276,-29.93389701,5.6721442
45.08091808,28.16184891,60.18338304,40.58087581,28.70599808,21.10701411,-44.69109601,-32.91356249,-37.5158535,-30.14921384,-29.8024274,6.43870781
45.45936937,27.66989981,60.36306425,40.90587722,28.60931414,20.18904807,-45.01677884,-32.73376273,-37.7605034,-30.44328631,-29.84506092,7.219768021
45.93402815,26.8624244,60.34896763,41.50424179,28.70765629,19.33013167,-45.44615348,-32.27746803,-37.86122045,-31.00912054,-30.10354718,7.93573693
46.54123129,25.78855312,60.12641146,42.18989792,28.91453404,18.5999575,-46.00564215,-31.59457731,-37.78469506,-31.66487841,-30.52295547,8.542652974
47.32234043,24.61112029,59.73398677,42.73961418,29.08294282,18.03946797,-46.70229837,-30.83741585,-37.55719804,-32.19724712,-30.97390139,9.022094048
48.28489466,23.55758648,59.25603661,42.96237736,29.05953957,17.66495573,-47.49808092,-30.21094431,-37.25431098,-32.42909177,-31.30774813,9.369814211
