,x,y
45,-0.009512033016576634,-0.04765569678953918
46,-0.009738399085463334,-0.04870836793345299
47,-0.00996868145823019,-0.049762197378169906
48,-0.01020293354204615,-0.05081865171317043
49,-0.010439834872682973,-0.0518768545821084
50,-0.010678144463317042,-0.05293598208465578
51,-0.010917847597841153,-0.05400039104738241
52,-0.011158971366464808,-0.05507459674066353
53,-0.011401585478420491,-0.05616340833679099
54,-0.01164311036851491,-0.05725792284008094
55,-0.011880933794898933,-0.05834940834206438
56,-0.012116013142301606,-0.05944370883600428
57,-0.012349223473082534,-0.06054675276492225
58,-0.012581383779102668,-0.061664730874889294
59,-0.012810806337530477,-0.06279153171067242
60,-0.013035721293106664,-0.06392130849881313
61,-0.013258123003751952,-0.06506105397115906
62,-0.013479930430039132,-0.06621805992008406
63,-0.013701182935142182,-0.06738517649648472
64,-0.013921903234599553,-0.06855555717008191
65,-0.014142098077780324,-0.06972245333351237
66,-0.014364431001467688,-0.07089168748994115
67,-0.01459162968486003,-0.0720691522823232
68,-0.014823697891691731,-0.07324764603834445
69,-0.015060785471400353,-0.07441999795460001
70,-0.015303192854609763,-0.07557885297249202
71,-0.01555221228190652,-0.07673155974405067
72,-0.015809334355199798,-0.07788528247391616
73,-0.016070728882797775,-0.07903439103784024
74,-0.01633269384663777,-0.08017311688659645
75,-0.016594830337928343,-0.08130613909030086
76,-0.016856744593701584,-0.08243796560971799
77,-0.017118036183924053,-0.0835730685350837
78,-0.017379139648076785,-0.08471646009462021
79,-0.017640483881858727,-0.08587340117557479
80,-0.017900008356484705,-0.08703585065158403
81,-0.018155597950394873,-0.08819593264813613
82,-0.01840501949560791,-0.08934570026633558
83,-0.01864935954964165,-0.09049163852860959
84,-0.018889552225278543,-0.09164011757670762
85,-0.019124172204398895,-0.0927824005774727
86,-0.01935162698798752,-0.09390956481632788
87,-0.01957420589958159,-0.09502749179522224
88,-0.019794051986558446,-0.09614178589830602
89,-0.020013226311556914,-0.09725794252345515
90,-0.020231886581865054,-0.09836868813656992
91,-0.020450175083130222,-0.09946658687318954
92,-0.02066988737964381,-0.10055892608013738
93,-0.02089286174955466,-0.1016528263183466
94,-0.021121034333213533,-0.10275545497968826
95,-0.02135277367964748,-0.10386289120031758
96,-0.0215865553407668,-0.10497135834316845
97,-0.02182279934041377,-0.10608846080725114
98,-0.022061999572586487,-0.10722206205121287
99,-0.02230016143104168,-0.10836518813681177
100,-0.02253325915832455,-0.10951115087105505
101,-0.02275711507304513,-0.11065334716040925
102,-0.022972048763806478,-0.11179744387982406
103,-0.023178112152492877,-0.11294916491715093
104,-0.023374915148396944,-0.11410687693014342
105,-0.023561789849027823,-0.11526912630582503
106,-0.02373777050303647,-0.11643459555209994
107,-0.023903340572049906,-0.11760241975868525
108,-0.024058671200145314,-0.11877180466410739
109,-0.024205552417910395,-0.11994216326887276
110,-0.02434552077362295,-0.12111293778446806
111,-0.024481286789768443,-0.12228290603198001
112,-0.024615434918645332,-0.12345082164445283
113,-0.024750501075934014,-0.12461537667587952
114,-0.024889091585413907,-0.12577524822293445
115,-0.02503391850143016,-0.1269289728777608
116,-0.025185976334409277,-0.12807621708394792
117,-0.025346476522286648,-0.12921645287162592
118,-0.02551688377364461,-0.1303489420183697
119,-0.02569696520381909,-0.13147619100690228
120,-0.025886778153510502,-0.13260054911520044
121,-0.026084702972020046,-0.13372323476220338
122,-0.026289363364713454,-0.13484541619301138
123,-0.026498310912229393,-0.13596796512144596
124,-0.026709225809851203,-0.1370917642862574
125,-0.026919847273365407,-0.13821773393328737
126,-0.027129879087062787,-0.13935297068325148
127,-0.027339007345739626,-0.14050484916995337
128,-0.02754481049789743,-0.14166686919153118
129,-0.027744767238842137,-0.14283283479216932
130,-0.02793618087154329,-0.14399666838342398
131,-0.028120456822164193,-0.14516461137839967
132,-0.028298786386405737,-0.14634302847231254
133,-0.028471371686143106,-0.14752230795054347
134,-0.028638242515316357,-0.1486928639700029
135,-0.02880171101407495,-0.14985922307160576
