LF_x,LF_y,LF_z,LF_w,LM_x,LM_y,LM_z,LM_w,LH_x,LH_y,LH_z,LH_w,RF_x,RF_y,RF_z,RF_w,RM_x,RM_y,RM_z,RM_w,RH_x,RH_y,RH_z,RH_w
-11.998118767687636,-23.850190879494697,1.5457555419179894,0.0,-37.185864288153034,-7.757769767021092,4.472688573503404,0.0,-46.44547728975974,-10.333810669254266,1.916892783860142,0.0,-9.440187271709032,-41.62651535374928,4.0879158937842615,0.0,-38.44834157791653,-35.972795160769316,1.451391963555297,0.0,-59.55047185427164,-34.907388021303355,2.2987995895336386,0.0
-11.983541731115874,-23.838294519950402,1.5753099488196742,0.0,-36.39641953790429,-7.408557183883873,4.721240800795269,0.0,-46.45148465066089,-10.319614303118575,1.9164222235785608,0.0,-9.127271807278305,-41.27546417636941,3.784846339977399,0.0,-38.43531891610208,-35.97543299444186,1.4482062037974774,0.0,-59.5185353850111,-35.02453527975659,2.4480857281952773,0.0
-11.970102236488676,-23.836720966600726,1.6154652626262518,0.0,-35.606333891126994,-7.1026306133346955,4.986762991712122,0.0,-46.44794177136425,-10.312463951577115,1.9154767890191327,0.0,-8.840631905936416,-40.973029864939384,3.5070659136771027,0.0,-38.426070745988696,-35.988609333373475,1.4434603504500991,0.0,-59.49312144264998,-35.17798582315627,2.6813659479749887,0.0
-11.960744316910622,-23.846004758521175,1.666552514028945,0.0,-34.84356190802653,-6.845432274604733,5.257977993073753,0.0,-46.4342103176986,-10.31328057556474,1.9128355866381597,0.0,-8.570789657705,-40.73204591895253,3.2689337068690367,0.0,-38.419840135531906,-36.01003490824205,1.4387765194490676,0.0,-59.4734953116822,-35.37162030501458,3.003186653887875,0.0
-11.957080470680076,-23.863709551254352,1.7257979212512335,0.0,-34.11558512904985,-6.635611580637922,5.519627682346741,0.0,-46.41226296351418,-10.3202317809505,1.9081751756621568,0.0,-8.308519800860935,-40.55810237551924,3.080626014211518,0.0,-38.41469300558108,-36.03369726939781,1.4365882008742101,0.0,-59.45480714930319,-35.60384777935654,3.4077769704411303,0.0
-11.958353261707348,-23.88464650304309,1.7868879197439345,0.0,-33.409676581285204,-6.467167378214538,5.75774553076038,0.0,-46.38564799050204,-10.329687473784054,1.9019226691879059,0.0,-8.046010146764468,-40.448851619075896,2.9473084092529422,0.0,-38.40794570368186,-36.05101856528444,1.4392265558868989,0.0,-59.42701835364914,-35.86725827103218,3.87896571505269,0.0
-11.961266183753851,-23.902281076375846,1.8401771091520729,0.0,-32.701493786140766,-6.332612765495869,5.964009035307286,0.0,-46.35798614219311,-10.337712377041328,1.8947550538586864,0.0,-7.777639838604969,-40.395246907739356,2.869106148680263,0.0,-38.396996866966724,-36.053563063067905,1.4477784206152915,0.0,-59.374960430113035,-36.149877163884526,4.391524400086567,0.0
-11.961082864728342,-23.91107047349278,1.8746855014537225,0.0,-31.967883369607115,-6.2255827388855485,6.1378752295438925,0.0,-46.33161867007316,-10.341372960066654,1.8871210717727713,0.0,-7.50030615806682,-40.383999319916406,2.841409414375004,0.0,-38.380175826898,-36.03621816031778,1.4614889421591677,0.0,-59.279570683572864,-36.43772543409535,4.913808907872097,0.0
-11.95347529937472,-23.908503942245225,1.8821917014797815,0.0,-31.198098906013676,-6.1418320872815455,6.286100910378889,0.0,-46.30710140141112,-10.339380102932994,1.8790960193522483,0.0,-7.213280402350754,-40.40001168244963,2.8551344591366217,0.0,-38.35724279740116,-35.99932289156691,1.4780669149193226,0.0,-59.12002829700219,-36.717795402993744,5.411642756155146,0.0
-11.93606417570279,-23.89585294162184,1.8616955611673074,0.0,-30.398685806712074,-6.07854410094146,6.419883682838549,0.0,-46.28380879223443,-10.332037506629954,1.8706091026162976,0.0,-6.917614856846918,-40.42772269314158,2.896864969614528,0.0,-38.3294202161395,-35.948697580571945,1.4946264578260973,0.0,-58.87638515028527,-36.98040031651135,5.853187796432023,0.0
-11.909076901841102,-23.877887030724242,1.8214953699248575,0.0,-29.590373294932984,-6.032951600431672,6.550506173973427,0.0,-46.261159460914975,-10.320808040918974,1.8618126053278399,0.0,-6.615252926942825,-40.45106393696107,2.949089572257936,0.0,-38.29905686263839,-35.89362781997433,1.5086974763502567,0.0,-58.532259095861505,-37.22021539908928,6.214067386473866,0.0
-11.875262817458957,-23.86206485202277,1.7775323093262543,0.0,-28.799021475846978,-6.001730227577399,6.6849170906012825,0.0,-46.23953230868435,-10.307852687559139,1.8532858692382153,0.0,-6.308148893472752,-40.452575348831346,2.990916934938305,0.0,-38.26907387001484,-35.843805534410244,1.5188854724748087,0.0,-58.07721027115758,-37.43588249156862,6.481494404277887,0.0
-11.839215675119137,-23.856730705736425,1.7489710216511565,0.0,-28.045165656349223,-5.9818583282957,6.8227004667570315,0.0,-46.22024103607985,-10.29567614726193,1.8459113889307197,0.0,-5.9977708141526165,-40.41270926406212,2.99965602907546,0.0,-38.24230022836566,-35.80650916858789,1.525062275220204,0.0,-57.5085301185781,-37.62857606893501,6.65604705009031,0.0
-11.805930614786051,-23.867784299126587,1.7528062474956947,0.0,-27.33679167553168,-5.972247429200658,6.955318562504509,0.0,-46.20470886846151,-10.286771298669485,1.8405063251047054,0.0,-5.685280923241919,-40.31039931212691,2.9534651487468686,0.0,-38.22080341020665,-35.78495494871025,1.5281388741673947,0.0,-56.83212258087551,-37.800269115637946,6.750306298715547,0.0
-11.778717806839014,-23.895043649891235,1.7985794353483566,0.0,-26.668037686802037,-5.974755410155399,7.067751648512814,0.0,-46.1935588430523,-10.283120445250065,1.837469568386604,0.0,-5.372430693831889,-40.125616852901814,2.834941674984556,0.0,-38.205354664726094,-35.77813457619195,1.5295235322463334,0.0,-56.06192811239737,-37.9523930155664,6.784646848401447,0.0
-11.75757445723494,-23.931245833723914,1.8841932058523856,0.0,-26.02373374488732,-5.993720448152466,7.141972713063208,0.0,-46.18628800157093,-10.285586033006144,1.8366733683934537,0.0,-5.0627925695327365,-39.843905828514174,2.6351506469904606,0.0,-38.19519475500585,-35.78189809148753,1.5304259367762132,0.0,-55.217444636191246,-38.08519951552916,6.781583671871582,0.0
-11.739476183770927,-23.965610024901665,1.9950767696652498,0.0,-25.387109131574302,-6.0342786569815745,7.161102714170946,0.0,-46.18165874638663,-10.293418680395028,1.8376166774532425,0.0,-4.762549457678553,-39.46193805308354,2.3572061635224912,0.0,-38.18825079652816,-35.79069870049801,1.5312521029323598,0.0,-54.31973744087609,-38.1977425481888,6.760665833809698,0.0
