LF_sup_x,LF_sup_y,LF_sup_z,LM_sup_x,LM_sup_y,LM_sup_z,LH_sup_x,LH_sup_y,LH_sup_z,RF_sup_x,RF_sup_y,RF_sup_z,RM_sup_x,RM_sup_y,RM_sup_z,RH_sup_x,RH_sup_y,RH_sup_z,LF_CTr_x,LF_CTr_y,LF_CTr_z,LM_CTr_x,LM_CTr_y,LM_CTr_z,LH_CTr_x,LH_CTr_y,LH_CTr_z,RF_CTr_x,RF_CTr_y,RF_CTr_z,RM_CTr_x,RM_CTr_y,RM_CTr_z,RH_CTr_x,RH_CTr_y,RH_CTr_z,LF_ThC_x,LF_ThC_y,LF_ThC_z,LM_ThC_x,LM_ThC_y,LM_ThC_z,LH_ThC_x,LH_ThC_y,LH_ThC_z,RF_ThC_x,RF_ThC_y,RF_ThC_z,RM_ThC_x,RM_ThC_y,RM_ThC_z,RH_ThC_x,RH_ThC_y,RH_ThC_z,LF_FTi_x,LF_FTi_y,LF_FTi_z,LM_FTi_x,LM_FTi_y,LM_FTi_z,LH_FTi_x,LH_FTi_y,LH_FTi_z,RF_FTi_x,RF_FTi_y,RF_FTi_z,RM_FTi_x,RM_FTi_y,RM_FTi_z,RH_FTi_x,RH_FTi_y,RH_FTi_z
8.996633206,-3.383209806,13.10017366,-4.888483638,1.002273955,6.298862586,6.070712396,3.796439598,-28.12615871,-0.813483037,0.933029999,-14.83484373,-3.640061115,1.872129691,4.884395833,2.176177586,0.445194459,3.340318056,9.807844359,1.37973773,11.66886362,-4.08273205,1.697372091,5.644128993,2.492834544,-4.443150113,-26.46399868,1.793637675,2.91741678,-13.24017564,-3.469286141,-1.040928694,4.841429223,2.505379698,-0.335461638,2.879684925,9.807844359,1.37973773,11.66886362,-4.08273205,1.697372091,5.644128993,2.492834544,-4.443150113,-26.46399868,1.793637675,2.91741678,-13.24017564,-3.469286141,-1.040928694,4.841429223,2.505379698,-0.335461638,2.879684925,-0.224496008,2.187595155,0.000346478,-0.820086429,1.718763195,0.000336879,-2.060952429,-7.698270611,0.001808876,1.395142335,2.914567521,-0.001213551,-2.404852358,-1.232772685,-0.000105944,-2.463952338,-0.363988303,6.36E-05
9.026669474,5.966980085,39.65144896,-2.128630781,1.20151214,5.231003355,3.627949875,-0.508364614,-46.47356874,-0.644778979,1.992953137,-25.97168487,-2.868641051,1.059130921,10.39149561,4.823337797,1.572141073,8.786140362,6.809790068,5.208419468,37.78299635,-1.745653399,1.458533985,4.73714833,-5.168104474,-6.877662747,-42.67910967,4.009585379,4.810480416,-23.45338974,-1.917372784,-1.876135595,9.622076014,5.597966266,-0.749376335,7.499267562,6.809790068,5.208419468,37.78299635,-1.745653399,1.458533985,4.73714833,-5.168104474,-6.877662747,-42.67910967,4.009585379,4.810480416,-23.45338974,-1.917372784,-1.876135595,9.622076014,5.597966266,-0.749376335,7.499267562,-1.218811763,8.173067748,0.000854158,-0.714537419,1.476412851,0.000287134,-4.559633272,-11.74898066,0.001633285,1.474974763,4.807965938,-0.001883564,-1.617547683,-2.261005598,0.000162882,-2.328609091,-0.814800018,0.000365049
5.07264667,12.55291804,48.65343652,2.044049982,1.413835275,3.58093018,0.816000963,-3.483459164,-47.58865795,-0.573636498,1.47147985,-21.5359071,-1.52268439,0.14603917,11.46701401,5.874324158,0.985304635,8.178787771,0.737572712,6.809383141,47.05040113,1.885955071,0.9555528,3.26662927,-9.871839057,-7.113533946,-42.95663543,3.220168795,3.851601641,-19.65671344,-0.274186896,-1.994557435,10.40630348,6.452827436,-0.444392647,6.68774528,0.737572712,6.809383141,47.05040113,1.885955071,0.9555528,3.26662927,-9.871839057,-7.113533946,-42.95663543,3.220168795,3.851601641,-19.65671344,-0.274186896,-1.994557435,10.40630348,6.452827436,-0.444392647,6.68774528,-1.796208242,10.54089231,0.00105727,-0.136750562,0.968064447,0.000240997,-5.756928822,-11.87382582,0.001722591,0.944321318,3.850375937,-0.00140373,-0.658998963,-2.439904285,0.000188377,-1.39405408,-0.48823695,0.000310387
-0.532968346,12.6205909,35.02274122,5.1730283,1.598646286,2.588978161,-0.731575845,-3.944656254,-31.82128597,-0.571265272,-0.234918451,-4.647921144,-0.383042351,-0.413449812,8.082975997,4.65945379,-0.874402001,1.830273436,-4.764426041,5.217949474,34.23073939,4.687825311,0.560354504,2.337112488,-9.056393383,-5.133921794,-28.14277474,0.106189313,0.68998694,-4.526157691,0.604925234,-1.468352615,7.262588887,4.526254282,0.426194959,0.936392556,-4.764426041,5.217949474,34.23073939,4.687825311,0.560354504,2.337112488,-9.056393383,-5.133921794,-28.14277474,0.106189313,0.68998694,-4.526157691,0.604925234,-1.468352615,7.262588887,4.526254282,0.426194959,0.936392556,-1.763529792,7.953734094,0.000752235,0.57328567,0.569844543,0.000233257,-5.167953594,-8.311621716,0.002077164,0.180786109,0.690487748,-0.000110177,-0.043932932,-1.816041949,-5.68E-05,-0.313772893,0.446255099,-8.66E-05
-4.474675849,6.478173968,7.407979787,5.482832718,1.711133865,3.06063214,-0.170037438,-2.279036077,-9.966695431,-0.455875841,-1.893052782,13.88706366,-0.147851017,-0.373120942,3.152999411,2.032377818,-2.832840957,-6.383637889,-6.500841947,1.404681583,7.581243716,5.077940424,0.565225177,2.692399446,-3.825569321,-2.302459054,-8.446965414,-3.08279693,-2.692323408,12.27512817,0.314603363,-0.786744122,2.860521996,1.119592091,1.371099725,-6.227069224,-6.500841947,1.404681583,7.581243716,5.077940424,0.565225177,2.692399446,-3.825569321,-2.302459054,-8.446965414,-3.08279693,-2.692323408,12.27512817,0.314603363,-0.786744122,2.860521996,1.119592091,1.371099725,-6.227069224,-1.299785035,2.107762597,3.78E-05,0.999363832,0.576303854,0.000275408,-3.465575488,-3.575154515,0.00248556,-0.268476491,-2.690304175,0.00116657,-0.069250362,-0.973157893,-0.000438078,0.177134897,1.457883644,-0.000604575
-4.524535938,-1.980910983,-17.61741317,2.803903189,1.701863924,4.880500376,2.130708268,0.488610987,3.85772069,-0.15185525,-2.359969515,22.36810078,-1.032765594,0.189096414,0.555391142,-0.242202416,-3.793621738,-11.54363983,-3.741484847,-2.314350779,-16.83880082,2.845263436,0.995074151,4.262335854,2.176224196,-0.540790724,3.418529132,-4.224554146,-4.20358159,20.18338452,-0.921113529,-0.52221242,0.664564401,-1.550446194,1.859134231,-10.54004399,-3.741484847,-2.314350779,-16.83880082,2.845263436,0.995074151,4.262335854,2.176224196,-0.540790724,3.418529132,-4.224554146,-4.20358159,20.18338452,-0.921113529,-0.52221242,0.664564401,-1.550446194,1.859134231,-10.54004399,-0.809092097,-3.469015461,-0.000667212,0.911134719,1.011921263,0.000350113,-1.995158275,-0.758489887,0.002622022,-0.008896208,-4.200869323,0.001624143,-0.637567875,-0.638871038,-0.000748333,-0.228543179,1.979065822,-0.000936671
-0.903186255,-7.565138314,-25.22440344,-1.408167672,1.539100053,7.080740426,4.775903457,3.283535516,0.936957001,0.092134837,-1.447369822,15.68691467,-2.668099127,0.992065648,2.537826779,-0.672515696,-3.334577154,-10.75264951,1.503452739,-3.680018221,-24.58967683,-0.792839809,1.59498645,6.205005483,5.138984468,-1.135523655,0.064341061,-2.76156823,-2.951676727,14.45884898,-2.444916833,-0.953394298,2.616271705,-1.808946991,1.643943475,-9.627419014,1.503452739,-3.680018221,-24.58967683,-0.792839809,1.59498645,6.205005483,5.138984468,-1.135523655,0.064341061,-2.76156823,-2.951676727,14.45884898,-2.444916833,-0.953394298,2.616271705,-1.808946991,1.643943475,-9.627419014,-0.633391641,-5.483691251,-0.000921775,0.405539675,1.619330363,0.000421598,-1.878201007,-1.639183234,0.00226638,0.877440903,-2.949264791,0.000990611,-1.33924043,-1.186811926,-0.000826978,-1.22339684,1.748693252,-0.000882598
3.980717906,-6.803805953,-10.79548932,-4.784462599,1.275012435,8.416520915,6.185913883,5.157094928,-16.92581131,-0.117061045,0.027050535,-1.707063711,-4.277213068,1.701481567,8.347182563,1.025345169,-1.892480156,-4.876310431,5.860158583,-1.830052328,-11.00202686,-3.777871314,1.993885026,7.412778218,3.221949885,-3.909157973,-16.33909951,0.093005311,0.223960498,-1.09780719,-3.511841441,-1.894523639,7.946981225,0.464549495,0.919979496,-4.408349633,5.860158583,-1.830052328,-11.00202686,-3.777871314,1.993885026,7.412778218,3.221949885,-3.909157973,-16.33909951,0.093005311,0.223960498,-1.09780719,-3.511841441,-1.894523639,7.946981225,0.464549495,0.919979496,-4.408349633,-0.820739601,-2.715099548,-0.00058879,-0.153154088,2.023773341,0.000458519,-3.30951034,-5.667001897,0.001476736,1.839027743,0.22573916,-0.000322013,-1.714771667,-2.39924261,-0.000653089,-2.117131606,0.97484835,-0.00048877
7.092351263,-0.197371337,16.98193091,-5.332407475,1.071757715,8.153550432,5.682426703,5.681817127,-38.69462709,-0.895170635,0.935798258,-19.06682319,-5.085263664,2.03956125,14.77352127,3.80885632,-0.530873248,2.019186155,6.601281148,2.170265428,15.73503781,-4.329365982,1.947854261,7.21560007,-2.243630664,-7.294738317,-35.59629481,2.281631093,3.337712483,-16.92194545,-3.662894572,-2.821805436,13.71675755,3.818606252,0.204423492,1.479231577,6.601281148,2.170265428,15.73503781,-4.329365982,1.947854261,7.21560007,-2.243630664,-7.294738317,-35.59629481,2.281631093,3.337712483,-16.92194545,-3.662894572,-2.821805436,13.71675755,3.818606252,0.204423492,1.479231577,-1.154704592,3.184570467,0.000120713,-0.36342682,1.978258097,0.000451781,-5.468098291,-10.34419738,0.000573676,2.276853529,3.339560803,-0.001499685,-1.537233136,-3.618915284,-0.000356996,-2.299857051,0.209624339,-2.53E-05
6.606537503,8.049057798,41.16379252,-2.739449421,1.102233536,6.561059032,3.902839213,5.126338479,-51.17604364,-1.883739109,0.633734261,-26.04835801,-4.794173232,1.917917496,18.14019034,5.979383632,-0.255744604,5.243079924,3.290487391,5.930990891,39.26091432,-2.109166202,1.506819066,5.828267651,-7.468542792,-9.309318569,-46.04536772,2.299521786,4.512378055,-23.58772582,-2.99642727,-3.209667393,16.63699373,6.139073715,0.008806193,3.993215913,3.290487391,5.930990891,39.26091432,-2.109166202,1.506819066,5.828267651,-7.468542792,-9.309318569,-46.04536772,2.299521786,4.512378055,-23.58772582,-2.99642727,-3.209667393,16.63699373,6.139073715,0.008806193,3.993215913,-1.38963324,8.603305865,0.000808222,-0.049686662,1.532743958,0.000414278,-7.092467376,-12.82939802,-3.57E-05,1.982718276,4.515226411,-0.001836425,-0.949439976,-4.162426663,-0.000130032,-1.650594257,-0.001806898,0.00018972
