LF_sup_y,LM_sup_y,LH_sup_y,RF_sup_y,RM_sup_y,RH_sup_y,LF_CTr_x,LM_CTr_x,LH_CTr_x,RF_CTr_x,RM_CTr_x,RH_CTr_x,LF_ThC_z,LM_ThC_z,LH_ThC_z,RF_ThC_z,RM_ThC_z,RH_ThC_z,LF_FTi_x,LM_FTi_x,LH_FTi_x,RF_FTi_x,RM_FTi_x,RH_FTi_x
3.659045155,2.056300201,1.695699168,2.227357117,-2.622984553,4.049701022,4.072495923,0.241916015,-23.70873804,4.29857847,14.53082723,-4.700536324,28.62238314,8.282621727,-22.67814251,-20.06646678,21.61653402,3.410532192,0.363543648,0.765562778,-7.293042132,2.458720491,4.34209216,-0.987006072
8.31812963,3.225935253,0.752088661,-0.13531306,-2.947462653,3.776614979,1.090156137,4.579284465,-25.48898296,0.775063777,16.17926235,-5.566861648,43.27547307,6.457100088,-20.54900874,-16.19099873,18.78976343,1.322456119,0.359001674,1.420439079,-6.256756781,1.193986055,4.722234659,-0.282650562
8.665912315,4.692115414,-2.287042036,-1.649922373,-3.076757899,2.915049614,-1.236269172,8.671628735,-24.30375746,-1.894766766,17.09046149,-7.215819278,38.48736582,5.642400238,-11.6127636,-6.459123608,14.99479159,-3.537759628,-0.352275503,2.010660306,-5.187771929,0.421532918,4.666999288,-0.265587872
4.369513457,5.744259473,-5.830336922,-1.195849527,-2.965360776,2.117876729,-1.124155537,10.34601179,-21.50837772,-1.77348428,16.71229538,-8.686789373,17.17589437,6.539268352,-0.688735846,2.944431268,12.79524222,-7.976781877,-1.229225341,2.230530696,-4.570796966,0.580609893,4.266883105,-0.936653942
-1.998153296,5.891176869,-7.964220723,1.048595017,-2.772301919,1.908880421,1.402912555,8.911583492,-19.1332766,1.252870453,15.23078624,-9.048702207,-7.924790571,8.75200637,6.271573199,6.216106132,13.55006114,-9.15768602,-1.585956163,2.004169039,-4.535258191,1.52409264,3.827355813,-1.825012796
-6.531486694,5.132958764,-7.768505931,3.78249509,-2.679209619,2.494568525,4.800189407,5.489789303,-18.73527088,5.487869635,13.41031457,-8.185803731,-21.54479814,10.9431033,5.820810143,1.681597957,16.62566996,-6.319930191,-1.125210688,1.517423418,-4.774397785,2.600301216,3.642375067,-2.316369058
-6.500668467,3.962258115,-5.757980397,5.392942641,-2.735385494,3.573009806,6.962350813,2.278534132,-20.27074091,8.43707007,12.14514207,-6.814141311,-15.39569526,11.65462273,-0.805715011,-7.428061964,19.8520478,-1.291378218,-0.147344201,1.089012551,-4.752419592,3.07248673,3.795132725,-2.064592667
-2.024191403,3.062605434,-3.2919914,4.887829591,-2.811093968,4.387695836,6.29824082,1.212044187,-21.93249277,8.256059321,11.97004316,-5.810584274,6.341193072,10.21619904,-8.600583805,-15.27041796,20.88451536,2.562064018,0.668130669,0.971045697,-4.094155163,2.607644043,4.120436779,-1.20862495
4.199165315,2.83905693,-1.668856114,2.537252315,-2.704876035,4.260623263,2.793161904,2.721144966,-21.46726662,4.956996994,12.70116837,-5.66660877,30.01161213,7.123413397,-12.15115067,-16.92054347,18.78414042,2.499969406,0.682732517,1.194477497,-2.866660602,1.484365141,4.321395464,-0.271669746
8.630629892,3.134555928,-1.444705363,-0.220643943,-2.362207325,3.124683719,-1.756287429,5.407851252,-17.8567706,0.503101216,13.48789719,-6.310973645,41.44505187,3.764809215,-9.052934466,-11.21741699,14.71976883,-1.71980827,-0.296767599,1.550387167,-1.52159395,0.389622118,4.164777888,0.181944221
