L1.Sup,L2.Sup,L3.Sup,R1.Sup,R2.Sup,R3.Sup,L1.CTr,L2.CTr,L3.CTr,R1.CTr,R2.CTr,R3.CTr,L1.ThC,L2.ThC,L3.ThC,R1.ThC,R2.ThC,R3.ThC,L1.FTi,L2.FTi,L3.FTi,R1.FTi,R2.FTi,R3.FTi
7.085423455,-7.228750533,-0.10345967,11.14949819,-0.252385639,7.324582857,-4.99776186,-1.59094297,36.29188747,9.11013044,16.47356255,29.79324212,36.1769337,-17.05108399,-39.95725278,44.23815312,-25.94054899,-31.02819467,129.6818843,107.047375,104.7749655,83.99329972,133.8373577,74.97442562
6.7438381,-7.875746123,0.660771708,11.09792967,0.516978316,7.280712066,-4.69000849,-1.60632687,37.00322314,8.9236899,16.58792886,29.55337264,36.25807265,-17.43712524,-38.36671228,43.52396311,-24.908994,-31.42193393,129.0340087,107.4708207,102.0498894,83.37720346,133.8165558,75.40101094
6.413503395,-8.488845724,1.361825719,11.04999212,1.334359144,7.212915346,-4.38658952,-1.57014248,37.67484937,8.79609704,16.60195843,29.34399682,36.2727043,-17.82498004,-36.73443223,42.90646315,-23.82784791,-31.81471229,128.403305,107.8571788,99.35954445,82.74470269,133.7802394,75.81107359
6.193173886,-8.992153196,2.009731363,11.00592314,2.200701104,7.131583854,-4.10301631,-1.51764551,38.31565739,8.78681463,16.5451203,29.17484859,36.07018062,-18.21415029,-35.07834767,42.55963613,-22.69237,-32.17807002,127.7922554,108.2398377,96.66904255,82.11689402,133.6730975,76.20082989
6.13754078,-9.32847914,2.637751702,10.96936307,3.109444092,7.055749931,-3.85091373,-1.48281369,38.92088736,8.9220995,16.44267039,29.04648828,35.58547364,-18.6038209,-33.41727306,42.55882207,-21.49883178,-32.48935015,127.2053486,108.6422185,93.96624652,81.51127819,133.4400471,76.56927476
6.244502902,-9.477922346,3.292237357,10.94365479,4.047221946,7.004725706,-3.63510417,-1.48785346,39.47679352,9.18520627,16.30438662,28.94896857,34.86582305,-18.99106028,-31.76918641,42.85097899,-20.24916252,-32.73945876,126.6484441,109.0724849,91.26590064,80.93941566,133.0459081,76.91716137
6.459727363,-9.459761413,4.016231593,10.92868703,4.998740492,6.989581406,-3.45276028,-1.53918922,39.96678337,9.52075106,16.11856626,28.86430266,34.04412832,-19.37074195,-30.15105526,43.28251138,-18.95428757,-32.93518455,126.1280436,109.5287058,88.60423096,80.40390439,132.4861191,77.24556139
6.694769823,-9.318472238,4.832807666,10.91958556,5.9522183,7.00815056,-3.29543301,-1.62963099,40.37469471,9.85153625,15.85483183,28.77251052,33.27649444,-19.73736013,-28.57962503,43.66699432,-17.63516217,-33.09617388,125.6505933,110.0078741,86.02917898,79.89663616,131.7858731,77.55492183
6.85559935,-9.104150189,5.735873055,10.90843381,6.901087314,7.045094002,-3.15226539,-1.74441513,40.6834364,10.10385889,15.47504647,28.6590624,32.68015955,-20.08750218,-27.07129919,43.8561627,-16.32069572,-33.24836866,125.2212237,110.5119313,83.59052546,79.40105796,130.9896182,77.84488241
6.874464878,-8.859379671,6.693297717,10.88911231,7.840339951,7.076048973,-3.01171311,-1.86782635,40.87078091,10.23251394,14.94770408,28.52054461,32.29960016,-20.42138337,-25.63992617,43.78427347,-15.04228913,-33.41619294,124.8417095,111.0475455,81.3315959,78.89892338,130.1457427,78.11455322
