LF_x,LF_y,LF_z,LF_w,LM_x,LM_y,LM_z,LM_w,LH_x,LH_y,LH_z,LH_w,RF_x,RF_y,RF_z,RF_w,RM_x,RM_y,RM_z,RM_w,RH_x,RH_y,RH_z,RH_w
-47.20638570828938,1.2951095608020076,2.4661207023126046,0.0,-123.08719737158503,-0.7642650760967964,4.819790079145232,0.0,-128.66516293009232,-0.09563608505881938,6.918360972301791,0.0,-62.617754771799106,-24.765359723988595,8.953931027084131,0.0,-80.66355789736814,-35.53811193966938,2.890135217820742,0.0,-143.18735171152633,-34.86143168616644,6.222830306363107,0.0
-47.187265069409776,1.2799689665952982,2.4676671611725425,0.0,-123.08391924808453,-0.77324231704163,4.813211398693021,0.0,-128.60150023587792,-0.14112719542705854,6.889798424739524,0.0,-61.825124035062984,-25.370210495300423,9.48451533111453,0.0,-80.65575920281647,-35.556108095107774,2.897149056139188,0.0,-143.29536525651952,-34.902884722488196,6.26324300068066,0.0
-47.170508894124275,1.260874380313263,2.473168024597129,0.0,-123.08207049533118,-0.7842041633311432,4.805045630249552,0.0,-128.5484738229,-0.17298275656078133,6.8638377481641655,0.0,-61.09899722559473,-25.976724516139427,10.085878947291398,0.0,-80.65055050317982,-35.57316057964939,2.9067759779961797,0.0,-143.30285683146073,-34.91415984755574,6.278704441592758,0.0
-47.155885231760465,1.239696432947273,2.483169914617875,0.0,-123.08056279116734,-0.7954938833570946,4.793942394732586,0.0,-128.5061568517611,-0.19150024294705403,6.842253745505349,0.0,-60.4503596255625,-26.578374847329105,10.742762415411555,0.0,-80.64729476059634,-35.58650554513428,2.9181620125487555,0.0,-143.2127419846925,-34.8975076371188,6.266990724005655,0.0
-47.14217524839633,1.2177882661611914,2.4972117922099386,0.0,-123.07936583252686,-0.8070135768219302,4.78003326708021,0.0,-128.47302348285555,-0.1994566389455219,6.825448543151726,0.0,-59.87351679379447,-27.174394426725243,11.43602592135393,0.0,-80.6445979903272,-35.59500939280972,2.9301317643509464,0.0,-143.06447839896316,-34.866652965509694,6.236091056009592,0.0
-47.127763977623445,1.1954598940887315,2.514153299429964,0.0,-123.07874364435673,-0.8191669785518005,4.764341526033519,0.0,-128.44625753317786,-0.20133840009080473,6.812391179301979,0.0,-59.348353186366026,-27.77193588835112,12.149920357675477,0.0,-80.64084762860641,-35.59904328943092,2.9417442782203587,0.0,-142.92026491634158,-34.84222211500804,6.200172056301749,0.0
-47.1115433828399,1.1720915248498418,2.5325609537730926,0.0,-123.07864320337409,-0.8319596832003349,4.748003034574658,0.0,-128.42250214362218,-0.202290980765083,6.801046188942092,0.0,-58.84430396060406,-28.38736308066535,12.877889482166538,0.0,-80.63486973954028,-35.60003071849162,2.952713626302092,0.0,-142.84256662227799,-34.84436573041748,6.173717093320786,0.0
-47.09364990789985,1.1467872415541045,2.551085696854898,0.0,-123.07856360128015,-0.8447304979793131,4.731692870468244,0.0,-128.39883360085128,-0.20714188531745137,6.789091008737174,0.0,-58.325554603599635,-29.045197881715016,13.625160962263656,0.0,-80.62637830324937,-35.59990207535261,2.9634168381826065,0.0,-142.8729229882589,-34.886068065481176,6.167161758260967,0.0
-47.07562547231592,1.1191747286158762,2.5688210882421103,0.0,-123.07790621812715,-0.8565700789496393,4.715477553524913,0.0,-128.37359851500804,-0.21969218110698208,6.774598312202052,0.0,-57.757280362227434,-29.77387797999361,14.407628568909928,0.0,-80.61599378889812,-35.60055249766033,2.9744110739905985,0.0,-143.01916723898094,-34.96937693501944,6.1847413712641774,0.0
-47.05985309949071,1.0898842187074695,2.5855335596152536,0.0,-123.07651195863765,-0.8670437731677723,4.699030011089878,0.0,-128.34678520567195,-0.2423204183906158,6.756423498509829,0.0,-57.11243716598006,-30.598924794526297,15.247661643432963,0.0,-80.60485277801865,-35.603300632454086,2.9857053257877517,0.0,-143.2537878717697,-35.08514019969636,6.223704107999524,0.0
-47.04850225455124,1.0604462758120636,2.6016034601920452,0.0,-123.07496453906943,-0.8766268358505016,4.681922051975757,0.0,-128.31979913039245,-0.275856836497562,6.734203776961529,0.0,-56.37778316972585,-31.53560002805708,16.16807387164431,0.0,-80.59406722659473,-35.60840446012515,2.9962543800892085,0.0,-143.52312690522774,-35.215943099266326,6.27470064248935,0.0
-47.04253513327181,1.0327045561255126,2.6176529935530475,0.0,-123.07438050118913,-0.886505843041764,4.663764308097317,0.0,-128.29476205996153,-0.31965274168185864,6.7080875328107545,0.0,-55.55707508432647,-32.5838077314861,17.185632608969435,0.0,-80.58435058798993,-35.61484548132023,3.0040875405945435,0.0,-143.76467391220487,-35.34133606436563,6.324165191428488,0.0
-47.041310956891834,1.0080962061200935,2.634050835368008,0.0,-123.0757389027885,-0.8979133395174799,4.644210453155434,0.0,-128.27363195685487,-0.37177933479802405,6.678466122975699,0.0,-54.66962815710999,-33.72746058155041,18.305707138987174,0.0,-80.57597171780183,-35.62060698997066,3.007126813111025,0.0,-143.92677995768113,-35.44362327474093,6.358864909666938,0.0
-47.042933774530155,0.9871589431419103,2.6505601612747043,0.0,-123.07909202137897,-0.9114599298315689,4.622961959544082,0.0,-128.25747717909576,-0.4293422442184216,6.645918290197098,0.0,-53.744093813457795,-34.93887119183479,19.51999419621278,0.0,-80.56896826362347,-35.623435335924555,3.00428105167191,0.0,-143.98341224251854,-35.512066543081424,6.370818518249095,0.0
