,Heading_direction
126,327.8019552587893
127,328.0738906876616
128,328.2883687521839
129,328.1937348202166
130,328.40789110864057
131,328.40333236751417
132,328.5331251508971
133,328.7810271201815
134,328.45138141560415
135,328.48703786904974
136,328.4349371785239
137,328.2546981351102
138,328.1273105679431
139,328.4207313496325
140,328.2035245231435
141,328.13116130395497
142,328.4862109398675
143,328.42346144391325
144,328.1158806829108
145,328.4768000115855
146,328.60404968967435
147,328.26531391294435
148,328.39321437602473
149,328.3195471209688
150,328.3878085656739
151,328.62128876229946
152,328.1954201385921
153,327.56780589301457
154,327.863968082968
155,327.87873336708566
156,328.41517369929034
157,328.6805208518671
158,328.6551223797135
159,328.80001401973607
160,328.7187213660103
161,328.61587928331755
162,328.512492466583
163,328.33142258532735
164,328.34482890094085
165,328.7286285520696
166,328.18504267020165
167,328.40384745811247
168,328.2075452558586
169,328.20505103484805
170,327.70495952558986
171,327.8198253227759
172,327.66534008237437
173,327.5296284907057
174,327.3572167180499
175,327.5279610157018
176,327.41006057084894
177,327.3300112122393
178,327.0597431964027
179,327.16190695929026
180,327.2488078053093
181,327.4907136632048
182,327.3906945437786
183,326.8515297581359
184,327.0368927464962
185,327.06402715571807
186,326.99193149201835
187,327.2636118811215
188,327.5139378661904
189,327.3857667638828
190,327.2815363876497
191,327.2769300472029
192,327.4475151040999
193,327.25456167533105
194,327.165431306108
195,327.52037372219735
196,327.4425519947241
197,327.4553024111557
198,327.84851840648395
199,327.9066830357094
200,328.2624809109137
201,328.12386805212907
202,328.13689123688266
203,328.1723708374488
204,327.95344335731687
205,328.28629616989355
206,328.3983666081116
207,328.45581298338556
208,328.10452972125734
209,328.1701859296038
210,328.11800764810624
211,328.8359448818205
212,329.1199113762489
213,328.53443061194173
214,327.78735387155206
215,327.8867802736684
216,327.629863532029
217,327.6897112239654
218,327.5132667906583
219,327.60141432001353
220,327.606751385183
221,327.56329813018385
222,327.2983133791472
223,327.9230953963549
224,327.6185433670064
225,327.9189062530948
226,327.8170441637835
227,327.5321958331737
228,327.73462762601525
229,327.8453391705907
230,327.5879404185134
231,327.60838416402305
232,327.7341039669934
233,327.73751244698803
234,327.7786589937531
235,327.9114712104483
236,327.8834709040616
237,327.7642301810354
238,327.7025599210629
239,327.9540307461933
240,328.724468017538
241,328.77953826138867
242,328.7771555119858
243,328.480946557347
244,327.9521620317615
245,327.99681147842034
246,328.35351837198414
247,328.51625953432745
248,328.3965397853387
249,328.614398377862
250,328.47895107999364
251,328.5883059561206
252,328.3707922490014
253,328.6291068787317
254,328.4690156134391
255,328.2550590551338
256,327.8096357843668
257,327.6092819725299
258,327.6181600367767
259,327.79022419905914
260,328.0976063364355
261,328.047556988956
